id,category_id,position
35ccf5f2-2446-56cd-9f29-427c309a5049,8afd3246-a23a-5d54-b692-3034da5cf24c,1
03722d78-3c6a-5b83-9229-bec43ee67f73,8afd3246-a23a-5d54-b692-3034da5cf24c,2
4975aade-fd21-5a9b-8a31-7408b6094dc0,8afd3246-a23a-5d54-b692-3034da5cf24c,3
03a3037a-442e-5251-8233-90f6a016050c,8afd3246-a23a-5d54-b692-3034da5cf24c,4
5ae98e6f-939f-578d-b31c-e5e64ec34552,8afd3246-a23a-5d54-b692-3034da5cf24c,5
40a17846-9f33-56a3-9ded-42e423b8cbdf,8afd3246-a23a-5d54-b692-3034da5cf24c,6
4c702395-b20a-5c47-adef-a08377941651,8afd3246-a23a-5d54-b692-3034da5cf24c,7
b0ed8dee-ca8f-5a96-a554-fbea07173771,8afd3246-a23a-5d54-b692-3034da5cf24c,8
284d1894-4d78-57e3-a433-e19c42ee5a78,8afd3246-a23a-5d54-b692-3034da5cf24c,9
14329c24-e163-5712-aec9-52d3fffca0ec,8afd3246-a23a-5d54-b692-3034da5cf24c,10
c4682787-22e2-5992-b024-2103b408e0d8,8afd3246-a23a-5d54-b692-3034da5cf24c,11
24e57a41-25e6-595c-b8be-7c9c4276e361,d3c35861-42d2-5a67-8ac0-b2f55baf40c9,1
1ac7e0c2-87e5-5f3b-adfc-bf3328aa4600,d3c35861-42d2-5a67-8ac0-b2f55baf40c9,2
d90a441b-b432-56ef-a266-4caee20122e9,d3c35861-42d2-5a67-8ac0-b2f55baf40c9,3
dd032e00-c343-5b8f-9fad-261669604343,d3c35861-42d2-5a67-8ac0-b2f55baf40c9,4
45050437-23ec-5f8f-843a-52c8cfd5f56a,d3c35861-42d2-5a67-8ac0-b2f55baf40c9,5
06323a02-d640-5ca6-896b-51dafef82648,d3c35861-42d2-5a67-8ac0-b2f55baf40c9,6
ac9a19a1-cef4-5683-9c93-916c733e66ee,d3c35861-42d2-5a67-8ac0-b2f55baf40c9,7
9cbcada1-ea45-5a0b-bc39-24ea418a08b0,d3c35861-42d2-5a67-8ac0-b2f55baf40c9,8
cdb86f6c-9d32-51bc-ba84-eed95f46b913,dfd949be-ee20-588b-be0a-71a6765f0bca,1
40bddc30-4749-5c8e-8a39-487c1c28ea2c,dfd949be-ee20-588b-be0a-71a6765f0bca,2
43761d6a-6bf8-55ef-9998-150e979d6a96,dfd949be-ee20-588b-be0a-71a6765f0bca,3
af533cc7-625d-55a7-9f61-33bd352c607f,dfd949be-ee20-588b-be0a-71a6765f0bca,4
7c7b33a3-29a9-57b0-8f8e-b0e9a338c40c,dfd949be-ee20-588b-be0a-71a6765f0bca,5
44bd89db-c803-57dc-9e29-b5114be2dad6,dfd949be-ee20-588b-be0a-71a6765f0bca,6
593f749c-1f90-53e3-85fd-28938798c283,dfd949be-ee20-588b-be0a-71a6765f0bca,7
f451af17-67ee-5376-bb34-24e3a947b09e,dfd949be-ee20-588b-be0a-71a6765f0bca,8
25d878a3-5bb4-561f-8085-c2094b06741a,dfd949be-ee20-588b-be0a-71a6765f0bca,9
055ea8e2-57c9-5fa1-97ed-a6440270bc2b,dfd949be-ee20-588b-be0a-71a6765f0bca,10
c7e098ca-a947-5d49-8047-9fda760baaa1,dfd949be-ee20-588b-be0a-71a6765f0bca,11
9d6a72f2-31f4-5b33-a6bb-57de39bfbe98,af825390-e401-5d7e-852f-22aa86a4fcb0,1
e4ee07e4-ba89-56cb-849d-85b1f6e773e8,af825390-e401-5d7e-852f-22aa86a4fcb0,2
e9f52320-ae2c-51bd-8735-febb0a67c76e,af825390-e401-5d7e-852f-22aa86a4fcb0,3
ffb879e9-1674-5f65-b49a-97a364c96ff7,af825390-e401-5d7e-852f-22aa86a4fcb0,4
0995693a-b5d8-5598-8c68-0d4b36f202bd,af825390-e401-5d7e-852f-22aa86a4fcb0,5
efd267d0-3c2c-5bb5-9b07-d10fb517c736,af825390-e401-5d7e-852f-22aa86a4fcb0,6
434a1b35-f100-5012-885e-cd0830f0a8c4,af825390-e401-5d7e-852f-22aa86a4fcb0,7
fb27bacc-5bbe-5dfc-b5b6-39112f09be6e,af825390-e401-5d7e-852f-22aa86a4fcb0,8
ff141150-9b35-559a-9cd9-30c3126f3ca8,af825390-e401-5d7e-852f-22aa86a4fcb0,9
0182e0ef-c981-5d86-bdc5-9f663425c2ac,af825390-e401-5d7e-852f-22aa86a4fcb0,10
537b177f-5236-5f1e-b308-e76352b1403f,c9a991b6-6d4f-5860-8fef-748862d213ec,1
f4b33224-fcc2-5326-81eb-37ae9d81d7ce,c9a991b6-6d4f-5860-8fef-748862d213ec,2
8716c708-7106-5317-998e-e818a354a951,c9a991b6-6d4f-5860-8fef-748862d213ec,3
