id,parent_id,level,name
08aaa7cf-5af8-5977-9159-9f5b0053fc4d,,1,Alcoholic beverages
b3ffeebc-0213-53e3-9375-4e13621f61b2,,1,Animal and vegetable fats and oils
da0a350a-39e8-5881-b42f-c96d8f77eb68,,1,Composite food (including frozen products)
31183dd4-6dc4-5cae-a155-e0a3d33b8a92,,1,Drinking water (water without any additives except carbon dioxide; includes water ice for consumption)
fd55a778-9f11-51b1-81f6-d9d86f2a926d,,1,Eggs and egg products
805ecf67-6ad5-5e17-8019-1863618aec92,,1,"Fish and other seafood (including amphibians, reptiles, snails and insects)"
3e9a4774-0d60-5c24-adc0-d9ce5ec2e3fd,,1,Food for infants and small children
e0236c5f-9fec-5468-880b-640bec9a3358,,1,Fruit and fruit products
12a5b805-8050-56f2-a37a-097bbefcd8ea,,1,Fruit and vegetable juices
5a8b9e50-c42d-5a99-9598-ae729def3f59,,1,Grains and grain-based products
4b2f8f6f-444b-5043-979e-552df39037a7,,1,"Herbs, spices and condiments"
cdfba7bd-3b7c-5387-b03e-1e36d3265f58,,1,"Legumes, nuts and oilseeds"
aa753be3-9452-5a22-bd46-0dab30ccd3c1,,1,Meat and meat products (including edible offal)
772d913e-bf93-5ce1-993f-87b1e839b51d,,1,Milk and dairy products
b660323b-a9d3-5ebb-b100-9bc9b5c57a79,,1,Non-alcoholic beverages (excepting milk based beverages)
3b87e447-8e98-5f73-9514-6c790a366cb6,,1,Products for special nutritional use
df88a1b8-8bb8-5061-b616-fe62a01200cd,,1,"Snacks, desserts, and other foods"
39015fd8-0e4b-59ff-9ca1-7a50799a7d82,,1,Starchy roots and tubers
8c70bb8c-4791-5342-b858-c9ef55733081,,1,Sugar and confectionary
d718d975-0ecd-54fe-a119-c0e05d99d8e2,,1,Vegetables and vegetable products (including fungi)
6cb1940e-089b-550c-994b-967a2838a1c6,08aaa7cf-5af8-5977-9159-9f5b0053fc4d,2,Alcoholic mixed drinks
be08644d-074f-5f3a-9efe-76fd98dd9352,08aaa7cf-5af8-5977-9159-9f5b0053fc4d,2,Beer and beer-like beverage
71a51932-46c6-5ac5-9664-416aa6d0314e,08aaa7cf-5af8-5977-9159-9f5b0053fc4d,2,Liqueur
