from_category_id,to_category_id,degree
6cb1940e-089b-550c-994b-967a2838a1c6,6cb1940e-089b-550c-994b-967a2838a1c6,5
6cb1940e-089b-550c-994b-967a2838a1c6,be08644d-074f-5f3a-9efe-76fd98dd9352,5
6cb1940e-089b-550c-994b-967a2838a1c6,71a51932-46c6-5ac5-9664-416aa6d0314e,4
6cb1940e-089b-550c-994b-967a2838a1c6,d0b7e504-f9c6-5ce6-8fe9-c129f6b67cea,4
6cb1940e-089b-550c-994b-967a2838a1c6,7442da53-9c7d-577e-9ad7-410bee197b1e,5
6cb1940e-089b-550c-994b-967a2838a1c6,57d1d8bd-114a-5579-b4e4-9f9f16b6dac1,5
6cb1940e-089b-550c-994b-967a2838a1c6,4f4b0751-5cfe-5a43-9362-8c7dba59b36c,2
6cb1940e-089b-550c-994b-967a2838a1c6,df1d48cd-df3a-5628-a040-6778bf13622b,2
6cb1940e-089b-550c-994b-967a2838a1c6,386a6ef6-09ba-5655-b636-ae4dba9a0515,3
6cb1940e-089b-550c-994b-967a2838a1c6,6e834874-ddde-59d5-ae61-151ce52f3bd9,3
6cb1940e-089b-550c-994b-967a2838a1c6,c0d261de-414a-5439-9b3e-5d11d63ca082,3
6cb1940e-089b-550c-994b-967a2838a1c6,620fcc12-1c5b-5d2e-ad11-e9b506320a0e,3
6cb1940e-089b-550c-994b-967a2838a1c6,f9bcacc3-ec3b-54f5-9f37-c919d69d55dc,3
6cb1940e-089b-550c-994b-967a2838a1c6,b90181dd-8347-50e0-afe4-81250bf3f29b,3
6cb1940e-089b-550c-994b-967a2838a1c6,6766f734-fa72-5b43-8aeb-108daaa93ecc,1
6cb1940e-089b-550c-994b-967a2838a1c6,86457463-d115-58f7-aaa6-6dfc7ad345c0,1
6cb1940e-089b-550c-994b-967a2838a1c6,77e80601-42e2-5aaa-acd2-fd1079174ab3,1
6cb1940e-089b-550c-994b-967a2838a1c6,22f5885d-8434-56df-89e2-885b68232365,1
6cb1940e-089b-550c-994b-967a2838a1c6,fe3eaaec-0928-5934-847d-95f8d93942cd,1
6cb1940e-089b-550c-994b-967a2838a1c6,a6c19abd-e1b1-5ab8-8816-b2f6c05ba496,1
6cb1940e-089b-550c-994b-967a2838a1c6,458d030e-4592-537b-aec8-dc33588eb337,2
6cb1940e-089b-550c-994b-967a2838a1c6,cce79a8e-8eae-5ee6-be2a-7af0a7a08459,2
6cb1940e-089b-550c-994b-967a2838a1c6,87f95c22-1504-5c92-a8f0-2d1ee8df5466,1
6cb1940e-089b-550c-994b-967a2838a1c6,0fc96ba5-2e99-50dd-9e48-21a7a7013eca,1
6cb1940e-089b-550c-994b-967a2838a1c6,a92a73a1-df74-5394-b24a-f1eeae520988,1
6cb1940e-089b-550c-994b-967a2838a1c6,8410b912-0b3e-574f-986b-a86c59b91748,1
be08644d-074f-5f3a-9efe-76fd98dd9352,6cb1940e-089b-550c-994b-967a2838a1c6,5
be08644d-074f-5f3a-9efe-76fd98dd9352,be08644d-074f-5f3a-9efe-76fd98dd9352,5
be08644d-074f-5f3a-9efe-76fd98dd9352,71a51932-46c6-5ac5-9664-416aa6d0314e,4
be08644d-074f-5f3a-9efe-76fd98dd9352,d0b7e504-f9c6-5ce6-8fe9-c129f6b67cea,4
be08644d-074f-5f3a-9efe-76fd98dd9352,7442da53-9c7d-577e-9ad7-410bee197b1e,5
be08644d-074f-5f3a-9efe-76fd98dd9352,57d1d8bd-114a-5579-b4e4-9f9f16b6dac1,5
be08644d-074f-5f3a-9efe-76fd98dd9352,4f4b0751-5cfe-5a43-9362-8c7dba59b36c,2
be08644d-074f-5f3a-9efe-76fd98dd9352,df1d48cd-df3a-5628-a040-6778bf13622b,2
be08644d-074f-5f3a-9efe-76fd98dd9352,386a6ef6-09ba-5655-b636-ae4dba9a0515,3
be08644d-074f-5f3a-9efe-76fd98dd9352,6e834874-ddde-59d5-ae61-151ce52f3bd9,3
be08644d-074f-5f3a-9efe-76fd98dd9352,c0d261de-414a-5439-9b3e-5d11d63ca082,3
be08644d-074f-5f3a-9efe-76fd98dd9352,620fcc12-1c5b-5d2e-ad11-e9b506320a0e,3
be08644d-074f-5f3a-9efe-76fd98dd9352,f9bcacc3-ec3b-54f5-9f37-c919d69d55dc,3
